,WineName,Winery,Country,Rating,NumberOfRatings,Price
261,Côtes du Rhône Roc-Epine 2018,Domaine Lafond,France,3.8,172 ratings,19.82
262,Avi 2014,San Patrignano,Italy,3.8,159 ratings,24.29
263,Pinot Noir 2016,Bliss,United States,3.8,158 ratings,20.99
264,Valpolicella Ripasso Superiore 2016,Famiglia Pasqua,Italy,3.8,157 ratings,16.0
265,Petit Verdot 2015,Durigutti,Argentina,3.8,154 ratings,23.99
266,Amplus Old Vine Carignan 2014,Santa Ema,Chile,3.8,144 ratings,24.26
267,Côtes du Rhône Cuvée Vieilles Vignes 2015,Domaine Roger Perrin,France,3.8,142 ratings,21.75
268,Langhe Nebbiolo 2016,Silvio Grasso,Italy,3.8,140 ratings,24.0
269,Finca Lalande Malbec 2018,Domaine Bousquet,Argentina,3.8,136 ratings,15.99
270,Finca La Florencia Malbec 2018,Bodega Familia Cassone,Argentina,3.8,132 ratings,20.48
271,Bordeaux 2015,Château Vieux Poirier,France,3.8,131 ratings,21.99
272,Meritage 2015,Cedar Creek Estate Winery,Canada,3.8,124 ratings,24.0
273,Roero 2017,Matteo Correggia,Italy,3.8,125 ratings,39.91
274,Côtes du Rhône Mistral 2016,Domaine de Ferrand,France,3.8,121 ratings,24.95
275,Les Copains d’abord Gamay Le Premier Soir 2017,Château de Corcelles,France,3.8,119 ratings,18.25
276,Barbera d'Alba 2016,Collina Serragrilli,Italy,3.8,117 ratings,15.12
277,Chianti Classico 2010,MonteMaggio,Italy,3.8,115 ratings,20.32
278,Bordeaux Supérieur 2015,Château Montcabrier,France,3.8,109 ratings,14.0
279,Aconcagua Costa Syrah 2016,Errazuriz,Chile,3.8,107 ratings,23.99
280,Rossovigliano 2017,Vigliano,Italy,3.8,103 ratings,19.71
281,Terre d'Argence Costières-de-Nîmes 2016,Château Mourgues du Grès,France,3.8,102 ratings,23.85
282,Sibaris Reserva Especial Cabernet Sauvignon 2017,Undurraga,Chile,3.8,99 ratings,22.52
283,Nero 2017,Coriole Vineyards,Australia,3.8,99 ratings,23.0
284,Piculit-Neri 2015,Emilio Bulfon,Italy,3.8,97 ratings,22.65
285,Montigiano 2014,Il Borghetto,Italy,3.8,95 ratings,22.15
286,Aglianico Campania Rue Dell'Inchiostro 2018,Nativ,Italy,3.8,98 ratings,11.14
287,Merlot 2017,Tinhorn Creek,Canada,3.8,95 ratings,24.26
288,Chianti Classico 2015,San Giorgio a Lapi,Italy,3.8,90 ratings,19.1
289,Shiraz 2015,Delheim,South Africa,3.8,90 ratings,17.3
290,Merlot 2017,Ecco Domani,Italy,3.8,86 ratings,14.25
291,Kloof Street Swartland Rouge 2018,Mullineux,South Africa,3.8,87 ratings,23.0
292,Dão Tinto 2015,Casa de Mouraz,Portugal,3.8,85 ratings,24.99
293,Citto Toscana 2018,Volpaia,Italy,3.8,83 ratings,17.55
294,Ottobre Rosso Montepulciano d'Abruzzo 2017,Tenuta I Fauri,Italy,3.8,82 ratings,15.12
295,Excellent Reserve 2011,Weingut R&A Pfaffl,Austria,3.8,81 ratings,33.92
296,Le Dôme du Grand Bois Côtes du Rhône 2018,Ortas - Cave de Rasteau,France,3.8,79 ratings,21.65
297,La Lippa Barbera d'Asti 2018,La Gironda,Italy,3.8,74 ratings,22.99
298,Il Corzanello Rosso 2015,Corzano e Paterno,Italy,3.8,74 ratings,15.12
299,Merlot 2017,Mt. Boucherie,Canada,3.8,73 ratings,24.99
300,Pinot Noir 2017,Arrowleaf,Canada,3.8,70 ratings,18.26
301,Vendanges Nocturnes (Classic) Rouge 2018,Laurent Miquel,France,3.8,69 ratings,12.99
302,Chianti Riserva 2015,Barbanera,Italy,3.8,68 ratings,24.74
303,Malbec 2017,Waterbrook,United States,3.8,69 ratings,24.99
304,Cabernet Franc (Small Lot) 2013,Wente,United States,3.8,64 ratings,22.95
305,Bailè Langhe Nebbiolo 2015,Collina Serragrilli,Italy,3.8,60 ratings,24.29
306,Cabernet Sauvignon 2018,Prelius,Italy,3.8,61 ratings,21.55
307,N Nero d'Avola 2009,Feudo Montoni,Italy,3.8,57 ratings,14.51
308,Sacravite Basilicata 2016,D'Angelo,Italy,3.8,57 ratings,21.99
309,Cormì Corvina - Merlot 2015,Zenato,Italy,3.8,55 ratings,20.5
